1,clk_drv:0x00 ,q_drv:0x00 ,d_drv:0x00 ,cs0_drv:0x00 ,hd_drv:0x00 ,wp_drv:0x00,0,0,0
73,1.645 ,1.279 ,11.560 ,0.000 ,0.000 ,-0.000,0,0,0
74,1.631 ,1.282 ,11.574 ,0.000 ,0.000 ,0.000,0,0,0
75,1.649 ,1.284 ,11.564 ,0.001 ,-0.001 ,-0.000,0,0,0
76,1.682 ,1.298 ,11.533 ,0.000 ,-0.000 ,-0.001,0,0,0
77,1.664 ,1.267 ,11.521 ,0.000 ,0.000 ,-0.000,0,0,0
78,1.642 ,1.280 ,11.550 ,0.000 ,0.000 ,-0.000,0,0,0
79,1.629 ,1.281 ,11.557 ,0.001 ,-0.000 ,0.001,0,0,0
80,1.637 ,1.279 ,11.542 ,-0.001 ,0.001 ,-0.001,0,0,0
81,1.658 ,1.287 ,11.568 ,-0.000 ,0.001 ,0.002,0,0,0
82,1.652 ,1.277 ,11.572 ,0.000 ,0.000 ,-0.000,0,0,0
83,1.648 ,1.280 ,11.565 ,0.001 ,0.001 ,0.000,0,0,0
84,1.654 ,1.267 ,11.551 ,0.000 ,-0.000 ,-0.001,0,0,0
85,1.627 ,1.283 ,11.561 ,0.000 ,0.000 ,0.000,0,0,0
86,1.642 ,1.265 ,11.566 ,-0.001 ,0.001 ,0.000,0,0,0
87,1.644 ,1.262 ,11.562 ,0.001 ,0.001 ,-0.000,0,0,0
88,1.647 ,1.285 ,11.541 ,0.001 ,0.000 ,-0.000,0,0,0
89,1.664 ,1.285 ,11.587 ,-0.001 ,0.000 ,0.000,0,0,0
90,1.631 ,1.271 ,11.575 ,-0.000 ,-0.000 ,-0.000,0,0,0
91,1.616 ,1.287 ,11.576 ,-0.001 ,0.001 ,-0.001,0,0,0
92,1.629 ,1.268 ,11.561 ,-0.000 ,0.000 ,-0.001,0,0,0
93,1.650 ,1.279 ,11.566 ,-0.001 ,0.000 ,0.001,0,0,0
94,1.637 ,1.282 ,11.565 ,0.001 ,0.000 ,-0.001,0,0,0
95,1.625 ,1.275 ,11.520 ,-0.000 ,0.000 ,-0.001,0,0,0
96,1.645 ,1.260 ,11.548 ,0.000 ,0.000 ,0.000,0,0,0
97,1.624 ,1.278 ,11.522 ,0.000 ,0.000 ,0.000,0,0,0
98,1.645 ,1.275 ,11.522 ,-0.000 ,0.001 ,0.001,0,0,0
99,1.651 ,1.272 ,11.549 ,-0.001 ,-0.000 ,-0.000,0,0,0
100,1.649 ,1.276 ,11.537 ,-0.000 ,0.000 ,0.000,0,0,0
101,1.634 ,1.294 ,11.540 ,0.000 ,0.000 ,-0.001,0,0,0
102,1.604 ,1.279 ,11.547 ,-0.001 ,-0.001 ,0.000,0,0,0
103,1.631 ,1.272 ,11.557 ,-0.001 ,0.000 ,0.000,0,0,0
104,1.655 ,1.283 ,11.543 ,0.000 ,0.001 ,0.000,0,0,0
105,1.655 ,1.274 ,11.565 ,-0.000 ,-0.001 ,-0.001,0,0,0
106,1.640 ,1.275 ,11.562 ,0.001 ,0.000 ,0.001,0,0,0
107,1.622 ,1.262 ,11.570 ,-0.001 ,-0.000 ,0.000,0,0,0
108,1.643 ,1.286 ,11.544 ,0.000 ,0.000 ,0.000,0,0,0
109,1.629 ,1.276 ,11.540 ,0.000 ,0.000 ,-0.001,0,0,0
110,1.642 ,1.255 ,11.558 ,0.001 ,-0.000 ,-0.000,0,0,0
111,1.644 ,1.286 ,11.565 ,0.001 ,-0.000 ,0.000,0,0,0
112,1.637 ,1.292 ,11.576 ,0.000 ,0.001 ,-0.001,0,0,0
113,1.672 ,1.291 ,11.550 ,-0.000 ,0.001 ,-0.001,0,0,0
114,1.634 ,1.269 ,11.562 ,0.000 ,-0.002 ,0.001,0,0,0
115,1.637 ,1.265 ,11.565 ,-0.000 ,-0.001 ,0.000,0,0,0
116,1.650 ,1.273 ,11.570 ,-0.000 ,0.001 ,0.000,0,0,0
117,1.651 ,1.267 ,11.544 ,-0.000 ,0.000 ,0.000,0,0,0
118,1.641 ,1.276 ,11.552 ,0.001 ,-0.000 ,-0.000,0,0,0
119,1.634 ,1.279 ,11.568 ,-0.000 ,0.000 ,-0.000,0,0,0
120,1.638 ,1.271 ,11.577 ,-0.000 ,-0.000 ,-0.000,0,0,0
121,1.649 ,1.280 ,11.555 ,-0.000 ,0.001 ,-0.000,0,0,0
122,1.659 ,1.264 ,11.553 ,0.000 ,-0.000 ,-0.000,0,0,0
123,1.660 ,1.310 ,11.535 ,0.001 ,-0.000 ,-0.001,0,0,0
124,1.632 ,1.273 ,11.585 ,0.000 ,-0.000 ,0.000,0,0,0
125,1.654 ,1.270 ,11.575 ,0.001 ,0.001 ,-0.001,0,0,0
126,1.653 ,1.265 ,11.587 ,0.000 ,0.000 ,-0.000,0,0,0
127,1.639 ,1.282 ,11.542 ,-0.001 ,0.001 ,-0.000,0,0,0
128,1.651 ,1.254 ,11.553 ,0.000 ,0.001 ,-0.000,0,0,0
129,1.651 ,1.273 ,11.526 ,0.001 ,-0.001 ,-0.000,0,0,0
130,1.655 ,1.261 ,11.550 ,-0.000 ,0.001 ,0.000,0,0,0
131,1.657 ,1.258 ,11.570 ,-0.001 ,-0.000 ,-0.001,0,0,0
132,1.644 ,1.268 ,11.527 ,-0.001 ,0.001 ,-0.001,0,0,0
133,1.628 ,1.260 ,11.556 ,0.000 ,-0.000 ,-0.001,0,0,0
134,1.668 ,1.283 ,11.555 ,0.000 ,-0.000 ,-0.000,0,0,0
135,1.644 ,1.287 ,11.528 ,-0.001 ,-0.000 ,0.000,0,0,0
136,1.636 ,1.278 ,11.559 ,0.001 ,-0.001 ,0.000,0,0,0
137,1.659 ,1.285 ,11.541 ,0.000 ,0.000 ,0.001,0,0,0
138,1.644 ,1.306 ,11.563 ,-0.000 ,-0.000 ,-0.001,0,0,0
139,1.633 ,1.294 ,11.551 ,-0.001 ,0.000 ,0.000,0,0,0
140,1.645 ,1.286 ,11.583 ,0.001 ,0.000 ,-0.001,0,0,0
141,1.651 ,1.292 ,11.545 ,-0.000 ,0.000 ,0.001,0,0,0
142,1.635 ,1.280 ,11.532 ,-0.000 ,0.000 ,-0.001,0,0,0
143,1.633 ,1.274 ,11.571 ,0.001 ,-0.000 ,0.001,0,0,0
144,1.628 ,1.262 ,11.596 ,0.001 ,-0.000 ,-0.000,0,0,0
145,1.659 ,1.267 ,11.546 ,0.001 ,0.001 ,-0.000,0,0,0
146,1.644 ,1.275 ,11.536 ,0.001 ,0.001 ,-0.000,0,0,0
147,1.641 ,1.255 ,11.577 ,0.001 ,0.000 ,-0.001,0,0,0
148,1.629 ,1.265 ,11.543 ,0.000 ,0.001 ,-0.001,0,0,0
149,1.634 ,1.270 ,11.516 ,0.001 ,-0.001 ,0.000,0,0,0
150,1.634 ,1.285 ,11.571 ,-0.001 ,0.000 ,-0.000,0,0,0
151,1.642 ,1.271 ,11.530 ,-0.001 ,0.000 ,-0.000,0,0,0
152,1.656 ,1.251 ,11.538 ,-0.000 ,0.000 ,-0.000,0,0,0
153,1.638 ,1.273 ,11.554 ,-0.000 ,0.001 ,-0.000,0,0,0
154,1.656 ,1.268 ,11.547 ,0.000 ,0.001 ,-0.000,0,0,0
155,1.650 ,1.270 ,11.583 ,0.000 ,-0.001 ,0.000,0,0,0
156,1.657 ,1.278 ,11.548 ,-0.001 ,-0.001 ,-0.001,0,0,0
157,1.636 ,1.262 ,11.525 ,0.000 ,-0.001 ,-0.001,0,0,0
